SP,RP,TI,TT,UT,LMS,CML,MLR
48,96,-1,4.72E-05,-1,0,0,0
96,144,0.1,4.72E-05,0.099999998,0,0,0
144,192,0.1,4.72E-05,0.099999998,0,0,0
192,240,0.042854055,4.72E-05,0.042854054,0,0,0
240,288,0.057145945,4.72E-05,0.057145944,0,0,0
288,336,0.1,4.72E-05,0.099999998,0,0,0
336,350,0.1,4.72E-05,0.099999998,0,0,0
350,384,0.042538047,3.52E-05,0.042526046,0,0,0
384,398,0.000244,4.32E-05,0.000252,0,0,0
398,432,0.000370377,3.52E-05,0.000362377,0,0,0
432,446,0.000484,4.32E-05,0.000492,0,0,0
446,482,0.000570377,3.52E-05,0.000562377,0,0,0
482,530,0.000404,4.32E-05,0.000412,0,0,0
530,578,0.055389199,4.72E-05,0.055393198,0,0,0
578,626,0.1,4.72E-05,0.099999997,0,0,0
626,674,0.1,4.72E-05,0.099999997,0,0,0
674,722,0.1,4.72E-05,0.099999997,0,0,0
722,770,0.1,4.72E-05,0.099999997,0,0,0
770,818,0.1,4.72E-05,0.099999997,0,0,0
818,866,0.1,4.72E-05,0.099999997,0,0,0
866,914,0.1,4.72E-05,0.099999997,0,0,0
914,962,0.1,4.72E-05,0.099999997,0,0,0
962,1010,0.1,4.72E-05,0.099999997,0,0,0
1010,1058,0.1,4.72E-05,0.099999997,0,0,0
1058,1106,0.1,4.72E-05,0.099999997,0,0,0
1106,1154,0.1,4.72E-05,0.099999997,0,0,0
1154,1202,0.1,4.72E-05,0.099999997,0,0,0
1202,1250,0.1,4.71E-05,0.099999997,0,0,0
1250,1298,0.1,4.71E-05,0.099999997,0,0,0
1298,1346,0.1,4.71E-05,0.099999997,0,0,0
1346,1394,0.1,4.71E-05,0.099999997,0,0,0
1394,1442,0.1,4.71E-05,0.099999997,0,0,0
1442,1490,0.1,4.71E-05,0.099999997,0,0,0
1490,1538,0.1,4.71E-05,0.099999997,0,0,0
1538,1586,0.1,4.71E-05,0.099999997,0,0,0
1586,1634,0.1,4.71E-05,0.099999997,0,0,0
1634,1682,0.1,4.71E-05,0.099999997,0,0,0
1682,1730,0.1,4.71E-05,0.099999997,0,0,0
1730,1778,0.1,4.71E-05,0.099999997,0,0,0
1778,1826,0.1,4.71E-05,0.099999997,0,0,0
1826,1874,0.1,4.71E-05,0.099999997,0,0,0
1874,1922,0.1,4.71E-05,0.099999997,0,0,0
1922,1970,0.1,4.71E-05,0.099999997,0,0,0
1970,2018,0.1,4.71E-05,0.099999997,0,0,0
2018,2066,0.1,4.71E-05,0.099999997,0,0,0
2066,2114,0.1,4.71E-05,0.099999997,0,0,0
2114,2162,0.1,4.71E-05,0.099999997,0,0,0
2162,2210,0.1,4.71E-05,0.099999997,0,0,0
2210,2258,0.1,4.71E-05,0.099999997,0,0,0
2258,2306,0.1,4.71E-05,0.099999997,0,0,0
2306,2354,0.1,4.71E-05,0.099999997,0,0,0
2354,2402,0.1,4.71E-05,0.099999997,0,0,0
2402,2450,0.1,4.71E-05,0.099999997,0,0,0
2450,2498,0.1,4.71E-05,0.099999997,0,0,0
2498,2546,0.1,4.71E-05,0.099999997,0,0,0
2546,2594,0.1,4.71E-05,0.099999997,0,0,0
2594,2642,0.1,4.71E-05,0.099999997,0,0,0
2642,2690,0.1,4.71E-05,0.099999997,0,0,0
2690,2738,0.1,4.71E-05,0.099999997,0,0,0
2738,2786,0.1,4.71E-05,0.099999997,0,0,0
2786,2834,0.1,4.71E-05,0.099999997,0,0,0
2834,2882,0.1,4.70E-05,0.099999997,0,0,0
2882,2930,0.1,4.70E-05,0.099999997,0,0,0
2930,2978,0.1,4.70E-05,0.099999997,0,0,0
2978,3026,0.1,4.70E-05,0.099999997,0,0,0
3026,3074,0.1,4.70E-05,0.099999997,0,0,0
3074,3122,0.1,4.70E-05,0.099999997,0,0,0
3122,3170,0.1,4.70E-05,0.099999997,0,0,0
3170,3218,0.1,4.70E-05,0.099999997,0,0,0
3218,3266,0.1,4.70E-05,0.099999997,0,0,0
3266,3314,0.1,4.70E-05,0.099999997,0,0,0
3314,3362,0.1,4.70E-05,0.099999997,0,0,0
3362,3410,0.1,4.70E-05,0.099999997,0,0,0
3410,3458,0.1,4.70E-05,0.099999997,0,0,0
