SP,RP,TI,TT,UT,LMS,CML,MLR
48,0,-1,-1,-1,1,1,0.041666667
96,0,0.1,-1,-1,1,2,0.03125
144,0,0.1,-1,-1,1,3,0.027777778
192,0,0.042854035,-1,-1,1,4,0.026041667
240,0,0.057145965,-1,-1,1,5,0.025
288,0,0.1,-1,-1,1,6,0.024305556
336,0,0.1,-1,-1,1,7,0.023809524
350,0,0.042538007,-1,-1,1,8,0.025714286
384,0,0.000244,-1,-1,1,9,0.026041667
398,0,0.000370296,-1,-1,1,10,0.027638191
432,0,0.000484,-1,-1,1,11,0.027777778
446,0,0.000570296,-1,-1,1,12,0.029147982
482,0,0.000404,-1,-1,1,13,0.029045643
530,0,0.055389401,-1,-1,1,14,0.028301887
578,0,0.1,-1,-1,1,15,0.027681661
626,0,0.1,-1,-1,1,16,0.02715655
674,0,0.1,-1,-1,1,17,0.026706231
722,0,0.1,-1,-1,1,18,0.026315789
770,0,0.1,-1,-1,1,19,0.025974026
818,0,0.1,-1,-1,1,20,0.025672372
866,0,0.1,-1,-1,1,21,0.025404157
914,0,0.1,-1,-1,1,22,0.025164114
962,0,0.1,-1,-1,1,23,0.024948025
1010,0,0.1,-1,-1,1,24,0.024752475
1058,0,0.1,-1,-1,1,25,0.024574669
1106,0,0.1,-1,-1,1,26,0.024412297
1154,0,0.1,-1,-1,1,27,0.024263432
1202,0,0.1,-1,-1,1,28,0.024126456
1250,0,0.1,-1,-1,1,29,0.024
1298,0,0.1,-1,-1,1,30,0.023882897
1346,0,0.1,-1,-1,1,31,0.023774146
1394,0,0.1,-1,-1,1,32,0.023672884
1442,0,0.1,-1,-1,1,33,0.023578363
1490,0,0.1,-1,-1,1,34,0.023489933
1538,0,0.1,-1,-1,1,35,0.023407022
1586,0,0.1,-1,-1,1,36,0.02332913
1634,0,0.1,-1,-1,1,37,0.023255814
1682,0,0.1,-1,-1,1,38,0.023186683
1730,0,0.1,-1,-1,1,39,0.023121387
