SP,RP,TI,TT,UT,LMS,CML,MLR
0.0,0.0,0.0,0.99974847,0.0,1.0,1.0,1.0
4.7411155e-05,5.9213497e-05,1.0,0.99974847,0.99684626,1.0,1.0,1.0
9.48223e-05,0.000118427,1.0,0.99974847,0.99684626,1.0,1.0,1.0
0.00014223346,0.0001776405,1.0,0.99974847,0.9986492,1.0,1.0,1.0
0.00018964462,0.00023685399,1.0,0.99974847,0.9981983,1.0,1.0,1.0
0.00023705576,0.0002960675,1.0,0.99974847,0.99684626,1.0,1.0,1.0
0.00028446692,0.000355281,1.0,0.99974847,0.99684626,1.0,1.0,1.0
0.00029829517,0.00037255159,1.0,0.99998623,0.9986595,1.0,1.0,1.0
0.00033187808,0.00041449448,1.0,0.99982905,0.99999326,1.0,1.0,1.0
0.00034570633,0.0004317651,1.0,0.99998623,0.99998975,1.0,1.0,1.0
0.00037928924,0.00047370797,1.0,0.99982905,0.9999857,1.0,1.0,1.0
0.0003931175,0.0004909786,1.0,0.99998623,0.99998343,1.0,1.0,1.0
0.00042867585,0.0005353887,1.0,0.99982905,0.9999882,1.0,1.0,1.0
0.000476087,0.0005946022,1.0,0.99975044,0.9982536,1.0,1.0,1.0
0.00052349817,0.0006538157,1.0,0.99975044,0.99684626,1.0,1.0,1.0
0.00057090935,0.0007130292,1.0,0.99975044,0.99684626,1.0,1.0,1.0
0.0006183205,0.00077224267,1.0,0.99975044,0.99684626,1.0,1.0,1.0
0.00066573167,0.0008314562,1.0,0.99975044,0.99684626,1.0,1.0,1.0
0.0007131428,0.0008906697,1.0,0.99975044,0.99684626,1.0,1.0,1.0
0.000760554,0.00094988314,1.0,0.99975044,0.99684626,1.0,1.0,1.0
0.0008079651,0.0010090966,1.0,0.99975044,0.99684626,1.0,1.0,1.0
0.0008553763,0.0010683102,1.0,0.99975044,0.99684626,1.0,1.0,1.0
0.00090278743,0.0011275237,1.0,0.99975044,0.99684626,1.0,1.0,1.0
0.00095019856,0.0011867372,1.0,0.99975044,0.99684626,1.0,1.0,1.0
0.0009976097,0.0012459507,1.0,0.9997524,0.99684626,1.0,1.0,1.0
0.0010450209,0.0013051642,1.0,0.9997524,0.99684626,1.0,1.0,1.0
0.001092432,0.0013643777,1.0,0.9997524,0.99684626,1.0,1.0,1.0
0.0011398431,0.0014235912,1.0,0.9997524,0.99684626,1.0,1.0,1.0
0.0011872543,0.0014828047,1.0,0.9997524,0.99684626,1.0,1.0,1.0
0.0012346655,0.0015420181,1.0,0.9997524,0.99684626,1.0,1.0,1.0
0.0012820766,0.0016012316,1.0,0.9997524,0.99684626,1.0,1.0,1.0
0.0013294878,0.0016604451,1.0,0.9997524,0.99684626,1.0,1.0,1.0
0.001376899,0.0017196586,1.0,0.9997524,0.99684626,1.0,1.0,1.0
0.00142431,0.0017788721,1.0,0.9997524,0.99684626,1.0,1.0,1.0
0.0014717212,0.0018380856,1.0,0.9997524,0.99684626,1.0,1.0,1.0
0.0015191324,0.0018972992,1.0,0.9997524,0.99684626,1.0,1.0,1.0
0.0015665436,0.0019565127,1.0,0.9997524,0.99684626,1.0,1.0,1.0
0.0016139547,0.0020157262,1.0,0.9997524,0.99684626,1.0,1.0,1.0
0.0016613659,0.0020749397,1.0,0.99975437,0.99684626,1.0,1.0,1.0
0.001708777,0.0021341532,1.0,0.99975437,0.99684626,1.0,1.0,1.0
0.0017561881,0.0021933666,1.0,0.99975437,0.99684626,1.0,1.0,1.0
0.0018035993,0.0022525801,1.0,0.99975437,0.99684626,1.0,1.0,1.0
0.0018510105,0.0023117936,1.0,0.99975437,0.99684626,1.0,1.0,1.0
0.0018984217,0.002371007,1.0,0.99975437,0.99684626,1.0,1.0,1.0
0.0019458329,0.0024302206,1.0,0.99975437,0.99684626,1.0,1.0,1.0
0.001993244,0.002489434,1.0,0.99975437,0.99684626,1.0,1.0,1.0
0.0020406551,0.0025486476,1.0,0.99975437,0.99684626,1.0,1.0,1.0
0.0020880664,0.002607861,1.0,0.99975437,0.99684626,1.0,1.0,1.0
0.0021354775,0.0026670746,1.0,0.99975437,0.99684626,1.0,1.0,1.0
0.0021828886,0.002726288,1.0,0.99975437,0.99684626,1.0,1.0,1.0
0.0022302999,0.0027855015,1.0,0.99975437,0.99684626,1.0,1.0,1.0
0.002277711,0.002844715,1.0,0.99975437,0.99684626,1.0,1.0,1.0
0.0023251222,0.0029039285,1.0,0.99975437,0.99684626,1.0,1.0,1.0
0.0023725333,0.002963142,1.0,0.99975437,0.99684626,1.0,1.0,1.0
0.0024199444,0.0030223555,1.0,0.99975437,0.99684626,1.0,1.0,1.0
0.0024673557,0.003081569,1.0,0.99975437,0.99684626,1.0,1.0,1.0
0.0025147668,0.0031407825,1.0,0.99975437,0.99684626,1.0,1.0,1.0
0.0025621778,0.003199996,1.0,0.99975437,0.99684626,1.0,1.0,1.0
0.0026095891,0.0032592095,1.0,0.99975437,0.99684626,1.0,1.0,1.0
0.0026570002,0.003318423,1.0,0.99975634,0.99684626,1.0,1.0,1.0
0.0027044113,0.0033776364,1.0,0.99975634,0.99684626,1.0,1.0,1.0
0.0027518226,0.0034368502,1.0,0.99975634,0.99684626,1.0,1.0,1.0
0.0027992337,0.0034960636,1.0,0.99975634,0.99684626,1.0,1.0,1.0
0.0028466447,0.0035552771,1.0,0.99975634,0.99684626,1.0,1.0,1.0
0.002894056,0.0036144906,1.0,0.99975634,0.99684626,1.0,1.0,1.0
0.002941467,0.003673704,1.0,0.99975634,0.99684626,1.0,1.0,1.0
0.0029888784,0.0037329176,1.0,0.99975634,0.99684626,1.0,1.0,1.0
0.0030362895,0.003792131,1.0,0.99975634,0.99684626,1.0,1.0,1.0
0.0030837005,0.0038513443,1.0,0.99975634,0.99684626,1.0,1.0,1.0
0.0031311119,0.003910558,1.0,0.99975634,0.99684626,1.0,1.0,1.0
0.003178523,0.0039697713,1.0,0.99975634,0.99684626,1.0,1.0,1.0
0.003225934,0.004028985,1.0,0.99975634,0.99684626,1.0,1.0,1.0
0.0032733453,0.0040881983,1.0,0.99975634,0.99684626,1.0,1.0,1.0
0.0033207564,0.004147412,1.0,0.99975634,0.99684626,1.0,1.0,1.0
0.0033681674,0.0042066253,1.0,0.99975634,0.99684626,1.0,1.0,1.0
0.0034155787,0.004265839,1.0,0.99975634,0.99684626,1.0,1.0,1.0
0.0034629898,0.0043250523,1.0,0.99975634,0.99684626,1.0,1.0,1.0
0.0035104011,0.004384266,1.0,0.99975634,0.99684626,1.0,1.0,1.0
0.0035578122,0.0044434797,1.0,0.99975634,0.99684626,1.0,1.0,1.0
0.0036052233,0.004502693,1.0,0.99975634,0.99684626,1.0,1.0,1.0
0.0036526346,0.0045619067,1.0,0.99975634,0.99684626,1.0,1.0,1.0
0.0037000456,0.00462112,1.0,0.99975634,0.99684626,1.0,1.0,1.0
0.0037474567,0.0046803337,1.0,0.99975634,0.99684626,1.0,1.0,1.0
0.003794868,0.004739547,1.0,0.99975634,0.99684626,1.0,1.0,1.0
0.003842279,0.0047987606,1.0,0.99975634,0.99684626,1.0,1.0,1.0
0.0038896904,0.004857974,1.0,0.99975437,0.99684626,1.0,1.0,1.0
0.003937101,0.0049171876,1.0,0.99975437,0.99684626,1.0,1.0,1.0
0.0039845123,0.004976401,1.0,0.99975437,0.99684626,1.0,1.0,1.0
0.0040319236,0.0050356146,1.0,0.99975437,0.99684626,1.0,1.0,1.0
0.0040793344,0.005094828,1.0,0.99975437,0.99684626,1.0,1.0,1.0
0.0041267457,0.0051540416,1.0,0.99975437,0.99684626,1.0,1.0,1.0
0.004174157,0.005213255,1.0,0.99975437,0.99684626,1.0,1.0,1.0
0.004221568,0.0052724686,1.0,0.99975437,0.99684626,1.0,1.0,1.0
0.004268979,0.005331682,1.0,0.99975437,0.99684626,1.0,1.0,1.0
0.0043163905,0.0053908955,1.0,0.99975437,0.99684626,1.0,1.0,1.0
0.0043638013,0.005450109,1.0,0.99975437,0.99684626,1.0,1.0,1.0
0.0044112126,0.0055093225,1.0,0.99975437,0.99684626,1.0,1.0,1.0
0.004458624,0.005568536,1.0,0.99975437,0.99684626,1.0,1.0,1.0
0.0045060352,0.0056277495,1.0,0.99975437,0.99684626,1.0,1.0,1.0
0.004553446,0.005686963,1.0,0.99975437,0.99684626,1.0,1.0,1.0
0.0046008574,0.0057461765,1.0,0.99975437,0.99684626,1.0,1.0,1.0
0.0046482687,0.00580539,1.0,0.99975437,0.99684626,1.0,1.0,1.0
0.0046956795,0.0058646034,1.0,0.99975437,0.99684626,1.0,1.0,1.0
0.004743091,0.005923817,1.0,0.99975437,0.99684626,1.0,1.0,1.0
0.004790502,0.0059830304,1.0,0.99975437,0.99684626,1.0,1.0,1.0
0.004837913,0.006042244,1.0,0.99975437,0.99684626,1.0,1.0,1.0
0.0048853243,0.0061014574,1.0,0.99975437,0.99684626,1.0,1.0,1.0
0.0049327356,0.006160671,1.0,0.9997524,0.99684626,1.0,1.0,1.0
0.0049801464,0.0062198844,1.0,0.9997524,0.99684626,1.0,1.0,1.0
0.0050275577,0.006279098,1.0,0.9997524,0.99684626,1.0,1.0,1.0
0.005074969,0.0063383114,1.0,0.9997524,0.99684626,1.0,1.0,1.0
0.00512238,0.006397525,1.0,0.9997524,0.99684626,1.0,1.0,1.0
0.005169791,0.0064567383,1.0,0.9997524,0.99684626,1.0,1.0,1.0
0.0052172025,0.006515952,1.0,0.9997524,0.99684626,1.0,1.0,1.0
0.0052646133,0.0065751653,1.0,0.9997524,0.99684626,1.0,1.0,1.0
0.0053120246,0.006634379,1.0,0.9997524,0.99684626,1.0,1.0,1.0
0.005359436,0.0066935923,1.0,0.9997524,0.99684626,1.0,1.0,1.0
0.0054068468,0.006752806,1.0,0.9997524,0.99684626,1.0,1.0,1.0
0.005454258,0.0068120193,1.0,0.9997524,0.99684626,1.0,1.0,1.0
0.0055016694,0.0068712328,1.0,0.9997524,0.99684626,1.0,1.0,1.0
0.00554908,0.0069304463,1.0,0.99975044,0.99684626,1.0,1.0,1.0
0.0055964915,0.0069896597,1.0,0.99975044,0.99684626,1.0,1.0,1.0
0.005643903,0.007048873,1.0,0.99975044,0.99684626,1.0,1.0,1.0
0.005691314,0.0071080867,1.0,0.99975044,0.99684626,1.0,1.0,1.0
0.005738725,0.0071673,1.0,0.99975044,0.99684626,1.0,1.0,1.0
0.0057861363,0.0072265137,1.0,0.99975044,0.99684626,1.0,1.0,1.0
0.0058335476,0.007285727,1.0,0.99975044,0.99684626,1.0,1.0,1.0
0.0058809584,0.0073449407,1.0,0.99975044,0.99684626,1.0,1.0,1.0
0.0059283697,0.007404154,1.0,0.99975044,0.99684626,1.0,1.0,1.0
0.005975781,0.0074633677,1.0,0.99975044,0.99684626,1.0,1.0,1.0
0.006023192,0.007522581,1.0,0.99975044,0.99684626,1.0,1.0,1.0
0.006070603,0.0075817946,1.0,0.99975044,0.99684626,1.0,1.0,1.0
0.0061180145,0.007641008,1.0,0.99974847,0.99684626,1.0,1.0,1.0
0.0061654253,0.0077002216,1.0,0.99974847,0.99684626,1.0,1.0,1.0
0.0062128366,0.007759435,1.0,0.99974847,0.99684626,1.0,1.0,1.0
0.006260248,0.007818649,1.0,0.99974847,0.99684626,1.0,1.0,1.0
0.0063076587,0.007877862,1.0,0.99974847,0.99684626,1.0,1.0,1.0
0.00635507,0.007937076,1.0,0.99974847,0.99684626,1.0,1.0,1.0
0.0064024813,0.007996289,1.0,0.99974847,0.99684626,1.0,1.0,1.0
0.006449892,0.008055503,1.0,0.99974847,0.99684626,1.0,1.0,1.0
0.0064973035,0.008114716,1.0,0.99974847,0.99684626,1.0,1.0,1.0
0.006544715,0.0081739295,1.0,0.99974847,0.99684626,1.0,1.0,1.0
0.0065921256,0.008233143,1.0,0.9997465,0.99684626,1.0,1.0,1.0
0.006639537,0.0082923565,1.0,0.9997465,0.99684626,1.0,1.0,1.0
0.0066869482,0.00835157,1.0,0.9997465,0.99684626,1.0,1.0,1.0
0.006734359,0.0084107835,1.0,0.9997465,0.99684626,1.0,1.0,1.0
0.0067817704,0.008469997,1.0,0.9997465,0.99684626,1.0,1.0,1.0
0.0068291817,0.00852921,1.0,0.9997465,0.99684626,1.0,1.0,1.0
0.006876593,0.008588424,1.0,0.9997465,0.99684626,1.0,1.0,1.0
0.006924004,0.008647637,1.0,0.9997465,0.99684626,1.0,1.0,1.0
0.006971415,0.008706851,1.0,0.9997465,0.99684626,1.0,1.0,1.0
0.0070188264,0.008766064,1.0,0.9997465,0.99684626,1.0,1.0,1.0
0.0070662373,0.008825278,1.0,0.99974453,0.99684626,1.0,1.0,1.0
0.0071136486,0.008884491,1.0,0.99974453,0.99684626,1.0,1.0,1.0
0.00716106,0.008943705,1.0,0.99974453,0.99684626,1.0,1.0,1.0
0.0072084707,0.009002918,1.0,0.99974453,0.99684626,1.0,1.0,1.0
0.007255882,0.009062132,1.0,0.99974453,0.99684626,1.0,1.0,1.0
0.0073032933,0.009121345,1.0,0.99974453,0.99684626,1.0,1.0,1.0
0.007350704,0.009180559,1.0,0.99974453,0.99684626,1.0,1.0,1.0
0.0073981155,0.009239772,1.0,0.99974453,0.99684626,1.0,1.0,1.0
0.007445527,0.009298986,1.0,0.99974453,0.99684626,1.0,1.0,1.0
0.0074929376,0.009358199,1.0,0.99974453,0.99684626,1.0,1.0,1.0
0.007540349,0.009417413,1.0,0.99974453,0.99684626,1.0,1.0,1.0
0.00758776,0.009476626,1.0,0.99974453,0.99684626,1.0,1.0,1.0
0.007635171,0.00953584,1.0,0.99974453,0.99684626,1.0,1.0,1.0
0.0076825824,0.009595053,1.0,0.9997465,0.99684626,1.0,1.0,1.0
0.0076964106,0.009612325,1.0,0.9999823,0.9978217,1.0,1.0,1.0
0.0077299937,0.009654267,1.0,0.9998251,0.99999577,1.0,1.0,1.0
0.007743822,0.009671538,1.0,0.9999823,0.9999783,1.0,1.0,1.0
0.0077774045,0.00971348,1.0,0.9998251,0.9999812,1.0,1.0,1.0
0.007791233,0.009730752,1.0,0.9999823,0.99997956,1.0,1.0,1.0
0.007826792,0.009775162,1.0,0.9998251,0.9999945,1.0,1.0,1.0
0.007874203,0.009834375,1.0,0.9997465,0.9991023,1.0,1.0,1.0
0.007921614,0.009893589,1.0,0.9997465,0.99684626,1.0,1.0,1.0
0.0079690255,0.009952802,1.0,0.9997465,0.99684626,1.0,1.0,1.0
0.008016436,0.010012016,1.0,0.9997465,0.99684626,1.0,1.0,1.0
0.008063847,0.010071229,1.0,0.9997465,0.99684626,1.0,1.0,1.0
0.008111259,0.010130443,1.0,0.9997465,0.99684626,1.0,1.0,1.0
0.00815867,0.010189656,1.0,0.9997465,0.99684626,1.0,1.0,1.0
0.008206081,0.01024887,1.0,0.99974847,0.99684626,1.0,1.0,1.0
0.008253492,0.010308083,1.0,0.99974847,0.99684626,1.0,1.0,1.0
0.008300903,0.010367297,1.0,0.99974847,0.99684626,1.0,1.0,1.0
0.008348314,0.01042651,1.0,0.99974847,0.99684626,1.0,1.0,1.0
0.008395726,0.010485724,1.0,0.99974847,0.99684626,1.0,1.0,1.0
0.008443137,0.010544937,1.0,0.99974847,0.99684626,1.0,1.0,1.0
0.008490548,0.010604151,1.0,0.99974847,0.99684626,1.0,1.0,1.0
0.008537959,0.010663364,1.0,0.99974847,0.99684626,1.0,1.0,1.0
0.00858537,0.010722578,1.0,0.99975044,0.99684626,1.0,1.0,1.0
0.008632781,0.010781791,1.0,0.99975044,0.99684626,1.0,1.0,1.0
0.008680193,0.010841005,1.0,0.99975044,0.99684626,1.0,1.0,1.0
0.008727604,0.010900218,1.0,0.99975044,0.99684626,1.0,1.0,1.0
0.008775014,0.0109594315,1.0,0.99975044,0.99684626,1.0,1.0,1.0
0.008822426,0.011018645,1.0,0.99975044,0.99684626,1.0,1.0,1.0
