SP,RP,TI,TT,UT,LMS,CML,MLR
0.00010192944,0.00013897172,0.0,0.04830602,1.0,1.0,1.0,1.0
0.00020385889,0.00027794344,0.1,0.04830602,0.8225807,1.0,1.0,1.0
0.00030578833,0.00041691517,0.1,0.04830602,0.8225807,1.0,1.0,1.0
0.00040771777,0.0005558869,0.1,0.04830602,0.8225807,1.0,1.0,1.0
0.0005096472,0.0006948586,0.009114705,0.04830602,0.8372396,1.0,1.0,1.0
0.00061157666,0.00083383033,0.0908853,0.04830602,0.8240508,1.0,1.0,1.0
0.00071350613,0.00097280205,0.1,0.04830602,0.8225807,1.0,1.0,1.0
0.00081543555,0.0011117738,0.1,0.04830602,0.8225807,1.0,1.0,1.0
0.000845165,0.0011523073,0.008938693,0.048317444,0.8372699,1.0,1.0,1.0
0.00091736496,0.0012507455,0.000184,0.04830983,0.8386787,1.0,1.0,1.0
0.0009470944,0.001291279,0.000690362,0.048317444,0.8385997,1.0,1.0,1.0
0.0010192944,0.0013897172,0.000344,0.04830983,0.8386529,1.0,1.0,1.0
0.0010490238,0.0014302507,0.000350362,0.048317444,0.8386545,1.0,1.0,1.0
0.001125471,0.0015344794,0.000264,0.04830983,0.83866584,1.0,1.0,1.0
0.0012274004,0.0016734512,0.089228585,0.04830602,0.82431734,1.0,1.0,1.0
0.0013293298,0.0018124229,0.1,0.04830602,0.8225807,1.0,1.0,1.0
0.0014312592,0.0019513946,0.1,0.04830602,0.8225807,1.0,1.0,1.0
0.0015331887,0.0020903663,0.1,0.04830602,0.8225807,1.0,1.0,1.0
0.0016351182,0.002229338,0.1,0.04830602,0.8225807,1.0,1.0,1.0
0.0017370476,0.0023683098,0.1,0.04830602,0.8225807,1.0,1.0,1.0
0.001838977,0.0025072815,0.1,0.04830612,0.8225807,1.0,1.0,1.0
0.0019409065,0.0026462532,0.1,0.04830612,0.8225807,1.0,1.0,1.0
0.0020428358,0.002785225,0.1,0.04830612,0.8225807,1.0,1.0,1.0
0.0021447653,0.0029241967,0.1,0.04830612,0.8225807,1.0,1.0,1.0
0.0022466949,0.0030631684,0.1,0.04830612,0.8225807,1.0,1.0,1.0
0.0023486242,0.00320214,0.1,0.04830612,0.8225807,1.0,1.0,1.0
0.0024505537,0.0033411118,0.1,0.04830612,0.8225807,1.0,1.0,1.0
0.0025524832,0.0034800835,0.1,0.04830612,0.8225807,1.0,1.0,1.0
0.0026544125,0.0036190553,0.1,0.04830612,0.8225807,1.0,1.0,1.0
0.002756342,0.003758027,0.1,0.04830612,0.8225807,1.0,1.0,1.0
0.0028582714,0.0038969987,0.1,0.04830612,0.8225807,1.0,1.0,1.0
0.002960201,0.0040359707,0.1,0.04830612,0.8225807,1.0,1.0,1.0
0.0030621304,0.004174942,0.1,0.04830612,0.8225807,1.0,1.0,1.0
