SP,RP,TI,TT,UT,LMS,CML,MLR
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
5.2438383e-05,0.00018611577,1.0,0.5528683,0.99756247,1.0,1.0,1.0
0.00010487677,0.00037223156,1.0,0.5490707,0.99882674,1.0,1.0,1.0
0.00015731515,0.0005583473,1.0,0.5669031,0.9988638,1.0,1.0,1.0
0.00020975355,0.00074446306,1.0,0.5626707,0.998826,1.0,1.0,1.0
0.00026219193,0.00074446306,1.0,0.0,0.0,0.0,0.9982729,0.7708609
0.0003146303,0.0011166946,1.0,0.8798953,0.99956524,1.0,1.0,0.80359507
0.0003670687,0.0013028104,1.0,0.5952699,0.9988208,1.0,1.0,0.8281457
0.00041950707,0.0014889261,0.0,0.5912906,0.99882644,1.0,1.0,0.84724057
0.00047194547,0.0016750419,1.0,0.55861986,0.9987773,1.0,1.0,0.8625165
0.0005243838,0.0016750419,1.0,0.0,0.0,0.0,0.9982729,0.75003004
0.0005768222,0.0018611576,1.0,0.49826473,0.9975226,1.0,1.0,0.7708609
0.00062926055,0.0022333893,1.0,0.0,0.99939096,0.0,0.9982729,0.68273044
0.00068169896,0.002419505,1.0,0.5363183,0.9987343,1.0,1.0,0.7053926
0.0007341373,0.0026056208,1.0,0.6079782,0.9989561,1.0,1.0,0.72503304
0.0007865757,0.0027917365,1.0,0.5757478,0.99877805,1.0,1.0,0.7422185
0.00083901413,0.0029778522,1.0,0.596855,0.9988694,1.0,1.0,0.7573821
0.0008914525,0.003163968,1.0,0.56418973,0.9987773,1.0,1.0,0.7708609
0.00094389083,0.0033500837,1.0,0.58530796,0.9988694,1.0,1.0,0.78292084
0.0009963294,0.0035361995,1.0,0.5275397,0.9987343,1.0,1.0,0.7937748
0.0010487677,0.0037223154,1.0,0.5996344,0.9989568,1.0,1.0,0.80359507
0.001101206,0.0039084307,1.0,0.5925344,0.9988211,1.0,1.0,0.81252253
0.0011536444,0.0040945467,1.0,0.58808184,0.9988256,1.0,1.0,0.82067376
0.0012060829,0.0042806626,1.0,0.58131766,0.9988217,1.0,1.0,0.8281457
0.0012585212,0.004466778,1.0,0.60242486,0.9988694,1.0,1.0,0.8350198
0.0013109596,0.004652894,1.0,0.5953524,0.99882114,1.0,1.0,0.8413652
0.001363398,0.0048390096,1.0,0.59087783,0.9988256,1.0,1.0,0.84724057
0.0014158364,0.0050251256,1.0,0.5841081,0.9988217,1.0,1.0,0.8526963
0.0014682747,0.005211241,1.0,0.60476947,0.99886864,1.0,1.0,0.8577757
0.0015207131,0.005397357,1.0,0.572374,0.99877775,1.0,1.0,0.8625165
0.0015731516,0.0055834725,1.0,0.59319496,0.99886894,1.0,1.0,0.86695147
0.0016255899,0.0057695885,1.0,0.58640873,0.9988216,1.0,1.0,0.87110925
0.0016780283,0.0059557045,1.0,0.58217627,0.998826,1.0,1.0,0.875015
0.0017304667,0.00614182,1.0,0.60096633,0.9988655,1.0,1.0,0.8786911
0.0017829051,0.006327936,1.0,0.5964477,0.99882555,1.0,1.0,0.882157
0.0018353434,0.0065140515,1.0,0.5896615,0.9988216,1.0,1.0,0.88543046
0.0018877818,0.0067001674,1.0,0.585407,0.99882597,1.0,1.0,0.8885269
