SP,RP,TI,TT,UT,LMS,CML,MLR,RP,TI,TT,UT,LMS,CML,MLR
0,0,0,0.99974847,0,1,1,1,0,0,0,0,0,0.9950739,0
4.74E-05,5.92E-05,1,0.99974847,0.99684626,1,1,1,0,1,0,0,0,0.99014777,0.25
9.48E-05,0.000118427,1,0.99974847,0.99684626,1,1,1,0,1,0,0,0,0.9852217,0.3333333
0.000142233,0.000177641,1,0.99974847,0.9986492,1,1,1,0,1,0,0,0,0.98029554,0.375
0.000189645,0.000236854,1,0.99974847,0.9981983,1,1,1,0,1,0,0,0,0.97536945,0.39999998
0.000237056,0.000296068,1,0.99974847,0.99684626,1,1,1,0,1,0,0,0,0.97044337,0.41666663
0.000284467,0.000355281,1,0.99974847,0.99684626,1,1,1,0,1,0,0,0,0.9655172,0.4285714
0.000298295,0.000372552,1,0.99998623,0.9986595,1,1,1,0,1,0,0,0,0.96059114,0.38285714
0.000331878,0.000414494,1,0.99982905,0.99999326,1,1,1,0,1,0,0,0,0.95566505,0.375
0.000345706,0.000431765,1,0.99998623,0.99998975,1,1,1,0,1,0,0,0,0.9507389,0.3366834
0.000379289,0.000473708,1,0.99982905,0.9999857,1,1,1,0,1,0,0,0,0.9458128,0.3333333
0.000393118,0.000490979,1,0.99998623,0.99998343,1,1,1,0,1,0,0,0,0.9408867,0.30044842
0.000428676,0.000535389,1,0.99982905,0.9999882,1,1,1,0,1,0,0,0,0.9359606,0.30290455
0.000476087,0.000594602,1,0.99975044,0.9982536,1,1,1,0,1,0,0,0,0.9310345,0.3207547
0.000523498,0.000653816,1,0.99975044,0.99684626,1,1,1,0,1,0,0,0,0.92610836,0.33564013
0.000570909,0.000713029,1,0.99975044,0.99684626,1,1,1,0,1,0,0,0,0.9211823,0.34824276
0.000618321,0.000772243,1,0.99975044,0.99684626,1,1,1,0,1,0,0,0,0.9162562,0.35905045
0.000665732,0.000831456,1,0.99975044,0.99684626,1,1,1,0,1,0,0,0,0.91133004,0.36842108
0.000713143,0.00089067,1,0.99975044,0.99684626,1,1,1,0,1,0,0,0,0.90640396,0.3766234
0.000760554,0.000949883,1,0.99975044,0.99684626,1,1,1,0,1,0,0,0,0.9014778,0.3838631
0.000807965,0.001009097,1,0.99975044,0.99684626,1,1,1,0,1,0,0,0,0.8965517,0.3903002
0.000855376,0.00106831,1,0.99975044,0.99684626,1,1,1,0,1,0,0,0,0.89162564,0.39606124
0.000902787,0.001127524,1,0.99975044,0.99684626,1,1,1,0,1,0,0,0,0.8866995,0.40124738
0.000950199,0.001186737,1,0.99975044,0.99684626,1,1,1,0,1,0,0,0,0.8817734,0.4059406
0.00099761,0.001245951,1,0.9997524,0.99684626,1,1,1,0,1,0,0,0,0.87684727,0.41020793
0.001045021,0.001305164,1,0.9997524,0.99684626,1,1,1,0,1,0,0,0,0.8719212,0.41410488
0.001092432,0.001364378,1,0.9997524,0.99684626,1,1,1,0,1,0,0,0,0.8669951,0.41767764
0.001139843,0.001423591,1,0.9997524,0.99684626,1,1,1,0,1,0,0,0,0.86206895,0.42096508
0.001187254,0.001482805,1,0.9997524,0.99684626,1,1,1,0,1,0,0,0,0.85714287,0.42400002
0.001234666,0.001542018,1,0.9997524,0.99684626,1,1,1,0,1,0,0,0,0.8522167,0.42681044
0.001282077,0.001601232,1,0.9997524,0.99684626,1,1,1,0,1,0,0,0,0.84729064,0.42942053
0.001329488,0.001660445,1,0.9997524,0.99684626,1,1,1,0,1,0,0,0,0.84236455,0.4318508
0.001376899,0.001719659,1,0.9997524,0.99684626,1,1,1,0,1,0,0,0,0.8374384,0.43411928
0.00142431,0.001778872,1,0.9997524,0.99684626,1,1,1,0,1,0,0,0,0.8325123,0.43624163
0.001471721,0.001838086,1,0.9997524,0.99684626,1,1,1,0,1,0,0,0,0.8275862,0.43823147
0.001519132,0.001897299,1,0.9997524,0.99684626,1,1,1,0,1,0,0,0,0.8226601,0.4401009
0.001566544,0.001956513,1,0.9997524,0.99684626,1,1,1,0,1,0,0,0,0.817734,0.44186044
0.001613955,0.002015726,1,0.9997524,0.99684626,1,1,1,0,1,0,0,0,0.8128079,0.4435196
0.001661366,0.00207494,1,0.99975437,0.99684626,1,1,1,0,1,0,0,0,0.8078818,0.44508672
0.001708777,0.002134153,1,0.99975437,0.99684626,1,1,1,0,1,0,0,0,0.8029557,0.4465692
0.001756188,0.002193367,1,0.99975437,0.99684626,1,1,1,0,1,0,0,0,0.79802954,0.44797373
0.001803599,0.00225258,1,0.99975437,0.99684626,1,1,1,0,1,0,0,0,0.79310346,0.44930625
0.001851011,0.002311794,1,0.99975437,0.99684626,1,1,1,0,1,0,0,0,0.7881774,0.4505723
0.001898422,0.002371007,1,0.99975437,0.99684626,1,1,1,0,1,0,0,0,0.7832512,0.45177662
0.001945833,0.002430221,1,0.99975437,0.99684626,1,1,1,0,1,0,0,0,0.77832514,0.45292366
0.001993244,0.002489434,1,0.99975437,0.99684626,1,1,1,0,1,0,0,0,0.773399,0.45401746
0.002040655,0.002548648,1,0.99975437,0.99684626,1,1,1,0,1,0,0,0,0.7684729,0.4550615
0.002088066,0.002607861,1,0.99975437,0.99684626,1,1,1,0,1,0,0,0,0.7635468,0.45605922
0.002135478,0.002667075,1,0.99975437,0.99684626,1,1,1,0,1,0,0,0,0.7586207,0.45701355
0.002182889,0.002726288,1,0.99975437,0.99684626,1,1,1,0,1,0,0,0,0.7536946,0.45792735
0.0022303,0.002785502,1,0.99975437,0.99684626,1,1,1,0,1,0,0,0,0.74876845,0.45880312
0.002277711,0.002844715,1,0.99975437,0.99684626,1,1,1,0,1,0,0,0,0.74384236,0.45964313
0.002325122,0.002903929,1,0.99975437,0.99684626,1,1,1,0,1,0,0,0,0.7389163,0.46044958
0.002372533,0.002963142,1,0.99975437,0.99684626,1,1,1,0,1,0,0,0,0.7339902,0.4612245
0.002419944,0.003022356,1,0.99975437,0.99684626,1,1,1,0,1,0,0,0,0.72906405,0.46196955
0.002467356,0.003081569,1,0.99975437,0.99684626,1,1,1,0,1,0,0,0,0.7241379,0.46268654
0.002514767,0.003140783,1,0.99975437,0.99684626,1,1,1,0,1,0,0,0,0.7192118,0.463377
0.002562178,0.003199996,1,0.99975437,0.99684626,1,1,1,0,1,0,0,0,0.71428573,0.46404237
0.002609589,0.00325921,1,0.99975437,0.99684626,1,1,1,0,1,0,0,0,0.70935965,0.464684
0.002657,0.003318423,1,0.99975634,0.99684626,1,1,1,0,1,0,0,0,0.7044335,0.46530318
0.002704411,0.003377636,1,0.99975634,0.99684626,1,1,1,0,1,0,0,0,0.69950736,0.4659009
0.002751823,0.00343685,1,0.99975634,0.99684626,1,1,1,0,1,0,0,0,0.6945813,0.46647847
0.002799234,0.003496064,1,0.99975634,0.99684626,1,1,1,0,1,0,0,0,0.6896552,0.46703672
0.002846645,0.003555277,1,0.99975634,0.99684626,1,1,1,0,1,0,0,0,0.6847291,0.4675768
0.002894056,0.003614491,1,0.99975634,0.99684626,1,1,1,0,1,0,0,0,0.67980295,0.46809942
0.002941467,0.003673704,1,0.99975634,0.99684626,1,1,1,0,1,0,0,0,0.6748768,0.4686054
0.002988878,0.003732918,1,0.99975634,0.99684626,1,1,1,0,1,0,0,0,0.6699507,0.46909565
0.00303629,0.003792131,1,0.99975634,0.99684626,1,1,1,0,1,0,0,0,0.66502464,0.46957076
0.003083701,0.003851344,1,0.99975634,0.99684626,1,1,1,0,1,0,0,0,0.66009855,0.4700315
0.003131112,0.003910558,1,0.99975634,0.99684626,1,1,1,0,1,0,0,0,0.6551724,0.47047853
0.003178523,0.003969771,1,0.99975634,0.99684626,1,1,1,0,1,0,0,0,0.6502463,0.47091246
0.003225934,0.004028985,1,0.99975634,0.99684626,1,1,1,0,1,0,0,0,0.6453202,0.47133374
0.003273345,0.004088198,1,0.99975634,0.99684626,1,1,1,0,1,0,0,0,0.6403941,0.471743
0.003320756,0.004147412,1,0.99975634,0.99684626,1,1,1,0,1,0,0,0,0.635468,0.4721408
0.003368167,0.004206625,1,0.99975634,0.99684626,1,1,1,0,1,0,0,0,0.6305419,0.47252744
0.003415579,0.004265839,1,0.99975634,0.99684626,1,1,1,0,1,0,0,0,0.6256158,0.4729036
0.00346299,0.004325052,1,0.99975634,0.99684626,1,1,1,0,1,0,0,0,0.62068963,0.47326952
0.003510401,0.004384266,1,0.99975634,0.99684626,1,1,1,0,1,0,0,0,0.61576355,0.47362578
0.003557812,0.00444348,1,0.99975634,0.99684626,1,1,1,0,1,0,0,0,0.61083746,0.47397256
0.003605223,0.004502693,1,0.99975634,0.99684626,1,1,1,0,1,0,0,0,0.6059114,0.4743104
0.003652635,0.004561907,1,0.99975634,0.99684626,1,1,1,0,1,0,0,0,0.6009852,0.4746396
0.003700046,0.00462112,1,0.99975634,0.99684626,1,1,1,0,1,0,0,0,0.5960591,0.4749605
0.003747457,0.004680334,1,0.99975634,0.99684626,1,1,1,0,1,0,0,0,0.591133,0.47527325
0.003794868,0.004739547,1,0.99975634,0.99684626,1,1,1,0,1,0,0,0,0.5862069,0.47557837
