SP,RP,TI,TT,UT,LMS,CML,MLR,RP2,TI2,TT2,UT2,LMS2,CML2,MLR2,mean,trans,pre_trans,s2s,pres2s,dae
0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1
0.27337864,0.25412458,1.0,0.9999568000000001,0.9999903,1.0,1.0,0.29026145,0.28400654,1.0,0.98689646,0.99996644,1.0,1.0,0.73218894,0.802268877,0.007347829,0.007769179,0.937784431,0.999885448,0.982424485
0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1
0.28470004,0.26708000000000004,1.0,0.9997308000000001,0.99684626,1.0,1.0,0.31848013,0.29720336,1.0,0.9990546,0.99511015,1.0,1.0,0.7325138000000001,0.809353159,0.007541055,0.00777689,0.938464538,0.9998930559999999,0.98605218
0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1
0.29977876,0.2846072,1.0,0.99974453,0.998425,1.0,1.0,0.35275490000000004,0.3104002,1.0,0.9990546,0.99511015,1.0,1.0,0.729916,0.81708583,0.007759719,0.007786536,0.939385987,0.999901356,0.987594929
0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1
0.31485748,0.3026698,1.0,0.99975634,0.99684626,1.0,1.0,0.38374722,0.3234823,1.0,0.9990546,0.99511015,1.0,1.0,0.72749174,0.824111899,0.007961535,0.007795567,0.940161578,0.999908688,0.9875389609999999
0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1
0.45094922,0.4365145,1.0,0.99972886,0.99684626,1.0,1.0,0.40092725,0.46559313,1.0,0.9990546,0.99511015,1.0,1.0,0.7293024,0.859748493,0.008132405,0.007765429,0.93462327,0.999936285,0.991051901
0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1
0.3299362,0.3211074,1.0,0.9997583000000001,0.99684626,1.0,1.0,0.41190714,0.33656442,1.0,0.9990546,0.99511015,1.0,1.0,0.7252890000000001,0.831057374,0.008142217,0.0078038330000000005,0.9408101520000001,0.9999151890000001,0.9871900779999999
