time,formaldehyde,co2,tvoc,temp,humidity,pm25
2019/7/30 9:00,17,708,46,237,499,12
2019/7/30 9:00,17,705,47,238,442,11
2019/7/30 9:00,17,705,48,239,409,11
2019/7/30 9:01,17,703,47,239,397,11
2019/7/30 9:01,17,703,46,240,397,10
2019/7/30 9:01,17,700,47,240,391,11
2019/7/30 9:01,17,697,47,241,392,10
2019/7/30 9:01,16,695,48,242,390,10
2019/7/30 9:01,17,694,47,242,385,10
2019/7/30 9:02,16,694,47,243,382,10
2019/7/30 9:02,17,693,46,244,383,10
2019/7/30 9:02,17,693,46,245,378,10
2019/7/30 9:02,16,690,46,246,378,10
2019/7/30 9:03,16,688,45,247,380,11
2019/7/30 9:03,16,687,44,247,378,11
2019/7/30 9:03,16,686,45,248,376,11
2019/7/30 9:03,17,685,44,249,375,11
2019/7/30 9:04,17,683,45,251,377,11
2019/7/30 9:04,17,681,44,252,377,11
2019/7/30 9:04,17,681,45,252,373,11
2019/7/30 9:04,17,679,44,254,374,14
2019/7/30 9:05,17,677,45,255,366,14
2019/7/30 9:05,17,674,44,257,364,13
2019/7/30 9:05,17,672,44,258,363,12
2019/7/30 9:05,17,669,45,259,357,11
2019/7/30 9:06,16,667,46,260,356,12
2019/7/30 9:06,16,667,47,261,355,11
2019/7/30 9:06,16,664,46,263,350,12
2019/7/30 9:06,16,662,46,264,349,11
2019/7/30 9:07,17,662,45,265,346,12
2019/7/30 9:07,17,661,44,266,343,13
2019/7/30 9:07,17,660,43,267,344,12
2019/7/30 9:07,17,659,44,268,342,12
2019/7/30 9:08,17,657,43,269,339,12
2019/7/30 9:08,17,657,43,270,340,12
2019/7/30 9:08,17,656,42,272,331,11
2019/7/30 9:08,17,653,42,272,325,11
2019/7/30 9:09,15,652,42,273,321,12
2019/7/30 9:09,16,652,43,273,323,13
2019/7/30 9:09,15,652,44,275,323,11
2019/7/30 9:09,15,647,43,275,324,12
2019/7/30 9:10,16,646,43,276,323,12
2019/7/30 9:10,16,645,43,276,322,12
2019/7/30 9:10,16,644,43,277,321,11
2019/7/30 9:10,16,630,40,277,318,12
2019/7/30 9:11,16,631,40,277,317,13
2019/7/30 9:11,16,633,41,277,315,11
2019/7/30 9:11,16,632,41,278,314,11
2019/7/30 9:11,16,631,40,278,313,12
2019/7/30 9:12,16,626,40,278,312,11
2019/7/30 9:12,16,626,40,278,314,11
2019/7/30 9:12,16,631,40,279,311,11
