0,1,2,3,4
-0.151406,-0.29687086,-0.4260463,-0.5290385,-0.6080126
-0.14276665,-0.27263448,-0.38281214,-0.47697404,-0.55511844
-0.13500682,-0.2532136,-0.35873505,-0.44674852,-0.5244008
-0.1316643,-0.25171646,-0.35514304,-0.44303143,-0.521296
-0.12979236,-0.24265055,-0.33996686,-0.43301415,-0.513856
-0.12679866,-0.23538463,-0.3371341,-0.4267236,-0.5073061
-0.13126835,-0.24428633,-0.34034726,-0.43298748,-0.5151834
-0.1283948,-0.23870315,-0.34008834,-0.43006802,-0.51390696
-0.12924911,-0.2505956,-0.35680634,-0.45006022,-0.5337339
-0.13085026,-0.24752264,-0.358363,-0.4578659,-0.5437293
-0.13180836,-0.25300813,-0.3659825,-0.46913913,-0.5566794
-0.13294636,-0.2520037,-0.36171833,-0.4638398,-0.551148
-0.13091688,-0.24938531,-0.35818318,-0.45417503,-0.5407184
-0.1334381,-0.25520614,-0.36456257,-0.46409172,-0.548918
-0.13418813,-0.25736567,-0.3702163,-0.47044268,-0.5547613
-0.13328019,-0.26074123,-0.37999412,-0.48375094,-0.56778896
-0.13182792,-0.25421035,-0.36354885,-0.45586646,-0.5385227
-0.13369186,-0.25833964,-0.36947,-0.46692675,-0.54886
-0.13301654,-0.25166413,-0.3620834,-0.4558725,-0.5386756
-0.13283604,-0.25262433,-0.35965157,-0.45538613,-0.5364013
-0.12616535,-0.239102,-0.34084186,-0.42988184,-0.5035485
-0.13146119,-0.25042513,-0.3568434,-0.45005906,-0.5304984
-0.13001288,-0.24709764,-0.354407,-0.45000657,-0.52822846
-0.13212459,-0.24786474,-0.35145807,-0.44277427,-0.51887864
-0.13114479,-0.24490558,-0.35098854,-0.44287694,-0.51750666
-0.13279533,-0.24655196,-0.35118154,-0.4440573,-0.5234383
-0.13125014,-0.2496353,-0.35260028,-0.44489327,-0.5210245
-0.12585084,-0.23343556,-0.33336088,-0.4218643,-0.4976617
-0.13007623,-0.24047878,-0.33746302,-0.42191574,-0.4954641
-0.12631084,-0.2352575,-0.3300488,-0.41882527,-0.49506658
-0.12822972,-0.23938069,-0.339128,-0.42386937,-0.49561027
-0.12747231,-0.23818795,-0.33940366,-0.4273714,-0.5022757
-0.12872648,-0.23530893,-0.32908225,-0.41103065,-0.48433357
-0.12728588,-0.23290938,-0.32619867,-0.41301194,-0.4893282
-0.12506716,-0.23093489,-0.3185803,-0.3969176,-0.46716905
-0.12821089,-0.23895814,-0.33623913,-0.4201088,-0.4905279
-0.1299433,-0.24245659,-0.33588186,-0.4170808,-0.48818755
-0.13057163,-0.24333328,-0.3379815,-0.42362812,-0.49206492
-0.12924303,-0.23684599,-0.33013293,-0.41328707,-0.48670858
-0.13048832,-0.24183947,-0.33293724,-0.4134208,-0.48463306
-0.1269242,-0.23585857,-0.3304304,-0.4114833,-0.47953817
-0.12722364,-0.23824526,-0.33170992,-0.41083637,-0.4772329
-0.1301018,-0.23941088,-0.3320782,-0.41648486,-0.48540783
-0.12684649,-0.23221858,-0.3273347,-0.4097122,-0.48050615
-0.12519135,-0.22897564,-0.32044655,-0.4030575,-0.4714907
-0.12915969,-0.241333,-0.33591416,-0.4128854,-0.47509363
-0.12889786,-0.23863044,-0.3308995,-0.41018865,-0.47929335
-0.12749586,-0.23336066,-0.32096478,-0.39517418,-0.45785663
-0.12863809,-0.23480913,-0.3262188,-0.40460896,-0.47414893
-0.12970078,-0.23786427,-0.3303952,-0.40754548,-0.47360578
-0.12972784,-0.24299185,-0.34392953,-0.4297204,-0.5048258
-0.1271026,-0.23496334,-0.32196403,-0.39469367,-0.4577639
-0.12892322,-0.23878188,-0.32945383,-0.40709162,-0.47495008
-0.12788413,-0.23024316,-0.31151175,-0.3785293,-0.43798283
-0.12745698,-0.23103382,-0.31637302,-0.39273253,-0.45944515
-0.12534665,-0.230967,-0.31644192,-0.3895688,-0.4506301
-0.1273106,-0.23314522,-0.31986123,-0.39586538,-0.46105802
-0.1272962,-0.23521072,-0.32502395,-0.4040988,-0.4706741
-0.12653989,-0.23178388,-0.3253014,-0.4003613,-0.46832317
-0.1278179,-0.23726845,-0.32795447,-0.4047005,-0.47081962
-0.12962906,-0.23413697,-0.31948045,-0.39372522,-0.45795092
-0.12642483,-0.22678919,-0.30942103,-0.3801302,-0.44138038
-0.12510847,-0.22889856,-0.3178947,-0.3935701,-0.4581233
-0.12463626,-0.22741336,-0.31374928,-0.3838753,-0.44646227
-0.1266256,-0.2310761,-0.3167486,-0.39007807,-0.45586428
-0.12647451,-0.22996084,-0.31462646,-0.38621885,-0.44585165
-0.13043682,-0.2397803,-0.32800844,-0.3946103,-0.44914088
-0.12685269,-0.23493749,-0.32221967,-0.39372808,-0.45611888
-0.12666626,-0.2299115,-0.31516692,-0.38453883,-0.44296944
-0.12571141,-0.23171444,-0.31858066,-0.39030722,-0.45081487
-0.1237542,-0.22355206,-0.30338463,-0.3777857,-0.43961802
-0.12549685,-0.23185758,-0.32084692,-0.39669028,-0.45870358
-0.12409121,-0.22854169,-0.31535095,-0.39105865,-0.45577863
-0.12382065,-0.22340071,-0.3039187,-0.37208915,-0.43708202
-0.12426593,-0.22809461,-0.3127453,-0.38323054,-0.4427933
-0.12645684,-0.2319523,-0.32223645,-0.39687288,-0.4607281
-0.12472745,-0.22750168,-0.3085721,-0.37450588,-0.4293067
-0.12300053,-0.22614676,-0.31176376,-0.38255027,-0.44070208
-0.12601344,-0.22868125,-0.30983964,-0.38095054,-0.44249666
-0.12587287,-0.22898196,-0.3163358,-0.3887502,-0.4492402
-0.12403476,-0.22484553,-0.3045684,-0.368798,-0.42435035
-0.1292155,-0.23176758,-0.31627312,-0.38755327,-0.4445919
-0.124032505,-0.22737399,-0.31126922,-0.3809582,-0.43923566
-0.12388734,-0.22498946,-0.30685252,-0.3745522,-0.42752013
