SP,RP,TI,TT,UT,LMS,CML,MLR,RP,TI,TT,UT,LMS,CML,MLR,mean,trans,pre_trans,s2s,pres2s,dae
0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1
0,0,0,0.99974847,0,1,1,1,0,0,0,0,0,0.9950739,0,0.010487233,0.013251181,0.008029291,0.960201929,0.999863199,0.026009063
4.74E-05,5.92E-05,1,0.99974847,0.99684626,1,1,1,0,1,0,0,0,0.99014777,0.25,0.402232771,0.01313603,0.00801651,0.963691325,0.999874727,0.128110549
9.48E-05,0.000118427,1,0.99974847,0.99684626,1,1,1,0,1,0,0,0,0.9852217,0.3333333,0.411714288,0.013098184,0.008005154,0.9655476,0.999879453,0.128110879
0.000142233,0.000177641,1,0.99974847,0.9986492,1,1,1,0,1,0,0,0,0.98029554,0.375,0.416378856,0.013084809,0.007993707,0.966671095,0.999881182,0.128267844
0.000189645,0.000236854,1,0.99974847,0.9981983,1,1,1,0,1,0,0,0,0.97536945,0.39999998,0.418757161,0.013057531,0.007982621,0.967440333,0.999881643,0.128230583
0.000237056,0.000296068,1,0.99974847,0.99684626,1,1,1,0,1,0,0,0,0.97044337,0.41666663,0.420019618,0.01302426,0.00796891,0.968064923,0.999881332,0.128115788
0.000284467,0.000355281,1,0.99974847,0.99684626,1,1,1,0,1,0,0,0,0.9655172,0.4285714,0.420870034,0.013072355,0.007955108,0.966546397,0.999874265,0.128116404
0.000298295,0.000372552,1,0.99998623,0.9986595,1,1,1,0,1,0,0,0,0.96059114,0.38285714,0.415000816,0.013067721,0.007940782,0.966454515,0.999871925,0.128287795
0.000331878,0.000414494,1,0.99982905,0.99999326,1,1,1,0,1,0,0,0,0.95566505,0.375,0.413603391,0.013078152,0.007925105,0.965148589,0.999866311,0.128378461
0.000345706,0.000431765,1,0.99998623,0.99998975,1,1,1,0,1,0,0,0,0.9507389,0.3366834,0.408398796,0.01303839,0.007908754,0.965189164,0.999865458,0.128390206
0.000379289,0.000473708,1,0.99982905,0.9999857,1,1,1,0,1,0,0,0,0.9458128,0.3333333,0.407384325,0.013060203,0.007892492,0.964083878,0.999861066,0.128379172
0.000393118,0.000490979,1,0.99998623,0.99998343,1,1,1,0,1,0,0,0,0.9408867,0.30044842,0.402836229,0.01304316,0.00787743,0.964351765,0.99986147,0.128392384
0.000428676,0.000535389,1,0.99982905,0.9999882,1,1,1,0,1,0,0,0,0.9359606,0.30290455,0.40252472,0.013004545,0.007862699,0.965165222,0.99986381,0.12838171
0.000476087,0.000594602,1,0.99975044,0.9982536,1,1,1,0,1,0,0,0,0.9310345,0.3207547,0.403874456,0.012967756,0.007847877,0.965870878,0.999865735,0.128236319
0.000523498,0.000653816,1,0.99975044,0.99684626,1,1,1,0,1,0,0,0,0.92610836,0.33564013,0.404914989,0.012933141,0.007832846,0.966528231,0.999867038,0.12811558
0.000570909,0.000713029,1,0.99975044,0.99684626,1,1,1,0,1,0,0,0,0.9211823,0.34824276,0.405849744,0.012900942,0.007817919,0.967113337,0.99986804,0.128115364
0.000618321,0.000772243,1,0.99975044,0.99684626,1,1,1,0,1,0,0,0,0.9162562,0.35905045,0.406567603,0.012870614,0.007802993,0.967641109,0.999869239,0.128115244
0.000665732,0.000831456,1,0.99975044,0.99684626,1,1,1,0,1,0,0,0,0.91133004,0.36842108,0.407111807,0.012841962,0.007788051,0.968122425,0.99986977,0.128115181
0.000713143,0.00089067,1,0.99975044,0.99684626,1,1,1,0,1,0,0,0,0.90640396,0.3766234,0.407514848,0.012814745,0.00777317,0.968565246,0.999870461,0.128115194
0.000760554,0.000949883,1,0.99975044,0.99684626,1,1,1,0,1,0,0,0,0.9014778,0.3838631,0.40780156,0.012788614,0.007758183,0.968976185,0.999870922,0.12811527
0.000807965,0.001009097,1,0.99975044,0.99684626,1,1,1,0,1,0,0,0,0.8965517,0.3903002,0.407991297,0.012763238,0.007743287,0.969360264,0.999871095,0.128115371
0.000855376,0.00106831,1,0.99975044,0.99684626,1,1,1,0,1,0,0,0,0.89162564,0.39606124,0.408099347,0.012738858,0.00772836,0.96972143,0.999871384,0.128115531
0.000902787,0.001127524,1,0.99975044,0.99684626,1,1,1,0,1,0,0,0,0.8866995,0.40124738,0.40813792,0.012715233,0.007713389,0.970063022,0.999871499,0.128115701
0.000950199,0.001186737,1,0.99975044,0.99684626,1,1,1,0,1,0,0,0,0.8817734,0.4059406,0.408116935,0.01269197,0.007698462,0.970387813,0.999871614,0.12811592
0.00099761,0.001245951,1,0.9997524,0.99684626,1,1,1,0,1,0,0,0,0.87684727,0.41020793,0.40804472,0.012669387,0.00768352,0.970697619,0.99987158,0.128116311
