0,1,2,3,4
-0.31113616,-0.31555718,-0.3159078,-0.31725174,-0.31776243
-0.31768212,-0.3177437,-0.31824407,-0.31926453,-0.31969988
-0.3177584,-0.31777158,-0.31828153,-0.31929946,-0.31971964
-0.31778347,-0.3177779,-0.3183037,-0.31932396,-0.31962
-0.31779233,-0.31777665,-0.3183168,-0.31921425,-0.31959882
-0.3178104,-0.3177882,-0.31824133,-0.31920752,-0.31953105
-0.31783244,-0.3177457,-0.31823877,-0.31913796,-0.31954363
-0.31780058,-0.31775758,-0.3181926,-0.31915984,-0.31950527
-0.31780365,-0.3177283,-0.31820098,-0.31910452,-0.319532
-0.31779674,-0.31776145,-0.31817338,-0.319146,-0.3196076
-0.31782308,-0.31775615,-0.31820318,-0.31921893,-0.3196714
-0.31780863,-0.31778136,-0.3182553,-0.3192775,-0.3197216
-0.31781992,-0.31781003,-0.31829202,-0.3193179,-0.31975612
-0.3178455,-0.31783134,-0.31832078,-0.31935146,-0.3197849
-0.31786987,-0.31785193,-0.31834868,-0.31938452,-0.31981412
-0.3178928,-0.31787255,-0.3183758,-0.31941727,-0.3198437
-0.31791413,-0.3178918,-0.31840137,-0.3194484,-0.31987223
-0.31793422,-0.31791022,-0.31842527,-0.31947806,-0.3198997
-0.3179532,-0.3179277,-0.31844816,-0.31950656,-0.31992644
-0.31797123,-0.31794462,-0.31846985,-0.31953394,-0.3199523
-0.31798854,-0.31796098,-0.31849074,-0.3195605,-0.31997767
-0.31800535,-0.3179768,-0.31851086,-0.31958625,-0.32000247
-0.3180215,-0.31799224,-0.31853044,-0.31961134,-0.32002673
-0.31803715,-0.31800726,-0.3185493,-0.3196359,-0.32005048
-0.31805256,-0.31802204,-0.31856778,-0.3196599,-0.32007396
-0.31806752,-0.31803647,-0.31858578,-0.3196834,-0.320097
-0.3180822,-0.3180507,-0.31860334,-0.3197065,-0.3201197
-0.31809667,-0.3180646,-0.31862062,-0.31972924,-0.32014233
-0.31811085,-0.31807837,-0.31863758,-0.3197517,-0.32016462
-0.31812474,-0.31809208,-0.3186544,-0.31977382,-0.32018664
-0.31813863,-0.31810552,-0.3186709,-0.3197958,-0.3202085
-0.31815222,-0.31811884,-0.31868717,-0.3198174,-0.32023016
-0.3181657,-0.31813207,-0.31870326,-0.31983885,-0.32025167
-0.31817907,-0.3181452,-0.31871906,-0.3198601,-0.32027307
-0.31819233,-0.31815812,-0.31873485,-0.3198813,-0.32029432
-0.3182054,-0.318171,-0.31875047,-0.3199022,-0.3203155
-0.31821844,-0.31818384,-0.3187659,-0.31992304,-0.3203365
-0.3182315,-0.31819662,-0.3187813,-0.3199437,-0.32035753
-0.31824428,-0.31820926,-0.3187965,-0.31996426,-0.3203783
-0.31825706,-0.3182218,-0.31881168,-0.3199847,-0.32039908
-0.31826973,-0.3182344,-0.3188267,-0.32000515,-0.3204198
-0.31828243,-0.31824693,-0.31884167,-0.32002547,-0.32044044
-0.31829506,-0.31825933,-0.31885657,-0.32004568,-0.32046106
-0.31830755,-0.31827173,-0.3188714,-0.32006586,-0.3204815
-0.31832013,-0.31828412,-0.31888616,-0.32008585,-0.32050207
-0.31833252,-0.31829637,-0.3189009,-0.32010597,-0.32052246
-0.31834504,-0.31830868,-0.31891552,-0.32012588,-0.32054296
-0.3183574,-0.31832102,-0.31893015,-0.32014582,-0.32056332
-0.31836972,-0.31833324,-0.31894466,-0.3201657,-0.32058367
-0.318382,-0.3183455,-0.3189592,-0.3201855,-0.320604
-0.31839433,-0.31835762,-0.31897375,-0.3202053,-0.32062432
-0.31840667,-0.31836984,-0.31898823,-0.32022515,-0.3206446
-0.31841892,-0.31838197,-0.31900266,-0.32024488,-0.32066485
-0.3184311,-0.31839412,-0.31901696,-0.3202646,-0.32068518
-0.31844327,-0.31840613,-0.3190313,-0.32028434,-0.32070544
-0.31845555,-0.31841826,-0.31904575,-0.320304,-0.32072562
-0.31846765,-0.31843033,-0.31906003,-0.32032374,-0.3207459
-0.31847993,-0.31844243,-0.3190743,-0.32034335,-0.32076618
-0.31849203,-0.31845447,-0.3190886,-0.32036296,-0.32078627
-0.3185041,-0.3184665,-0.3191029,-0.32038268,-0.32080653
-0.31851622,-0.31847852,-0.31911722,-0.3204023,-0.32082668
-0.31852838,-0.31849048,-0.31913134,-0.32042196,-0.32084706
-0.31854048,-0.31850252,-0.31914565,-0.32044154,-0.32086727
-0.31855252,-0.3185145,-0.3191599,-0.32046118,-0.3208875
-0.31856465,-0.31852654,-0.31917402,-0.32048082,-0.32090783
-0.31857675,-0.31853852,-0.31918827,-0.3205004,-0.320928
-0.31858882,-0.3185505,-0.31920245,-0.32052007,-0.3209482
-0.31860086,-0.3185625,-0.3192166,-0.32053956,-0.3209686
-0.31861296,-0.31857446,-0.31923085,-0.3205593,-0.32098886
-0.318625,-0.31858647,-0.31924507,-0.32057896,-0.3210092
-0.31863707,-0.31859833,-0.31925926,-0.32059857,-0.32102942
-0.3186491,-0.3186104,-0.31927332,-0.32061818,-0.32104978
-0.31866112,-0.31862244,-0.3192876,-0.32063785,-0.32107
-0.31867322,-0.31863436,-0.31930175,-0.32065758,-0.32109043
-0.31868532,-0.31864625,-0.31931594,-0.32067725,-0.3211108
-0.3186973,-0.31865826,-0.31933013,-0.320697,-0.32113114
-0.31870937,-0.31867024,-0.31934425,-0.3207166,-0.32115155
-0.3187214,-0.31868216,-0.3193585,-0.32073632,-0.32117197
-0.31873336,-0.31869414,-0.31937268,-0.3207561,-0.32119244
-0.3187455,-0.3187061,-0.31938675,-0.32077578,-0.32121283
-0.31875753,-0.3187181,-0.31940106,-0.32079554,-0.32123327
-0.31876954,-0.3187301,-0.31941524,-0.3208153,-0.3212538
-0.31878155,-0.31874198,-0.31942943,-0.32083514,-0.32127428
-0.31879362,-0.318754,-0.31944364,-0.32085487,-0.3212948
-0.31880578,-0.31876606,-0.31945786,-0.3208747,-0.32131538
-0.3188178,-0.31877795,-0.31947204,-0.3208946,-0.3213359
-0.31882983,-0.31878993,-0.31948635,-0.32091442,-0.3213565
-0.31884196,-0.31880194,-0.31950054,-0.32093427,-0.32137716
-0.31885397,-0.31881392,-0.31951478,-0.32095417,-0.32139775
-0.3188661,-0.31882593,-0.3195291,-0.32097408,-0.32141837
-0.31887805,-0.3188379,-0.31954333,-0.32099405,-0.32143906
-0.3188902,-0.3188499,-0.31955758,-0.321014,-0.32145986
-0.31890228,-0.31886196,-0.3195719,-0.32103398,-0.32148054
-0.31891438,-0.31887397,-0.31958613,-0.32105395,-0.32150123
-0.31892654,-0.31888595,-0.31960046,-0.32107398,-0.32152203
-0.31893858,-0.31889793,-0.31961474,-0.32109395,-0.3215429
-0.3189506,-0.31891,-0.31962913,-0.32111403,-0.3215637
-0.3189628,-0.31892204,-0.31964347,-0.32113406,-0.32158455
-0.31897488,-0.31893405,-0.31965783,-0.32115418,-0.32160538
-0.31898695,-0.31894615,-0.31967226,-0.32117426,-0.3216263
-0.31899914,-0.31895813,-0.3196865,-0.32119444,-0.32164735
-0.31901133,-0.31897017,-0.31970093,-0.3212146,-0.32166818
-0.31902334,-0.31898233,-0.31971532,-0.3212348,-0.32168916
-0.31903556,-0.3189943,-0.31972966,-0.32125494,-0.3217102
-0.31904772,-0.3190064,-0.3197441,-0.3212752,-0.32173124
-0.31905985,-0.3190185,-0.3197586,-0.32129547,-0.32175234
-0.31907204,-0.31903055,-0.319773,-0.3213157,-0.32177332
-0.3190842,-0.31904265,-0.31978738,-0.321336,-0.32179442
-0.3190964,-0.31905475,-0.3198019,-0.3213564,-0.32181567
-0.31910858,-0.3190669,-0.31981647,-0.3213767,-0.32183674
-0.31912082,-0.31907895,-0.31983098,-0.32139707,-0.32185802
-0.31913292,-0.3190911,-0.3198454,-0.32141748,-0.32187918
-0.31914523,-0.31910324,-0.31986,-0.3214379,-0.32190046
-0.3191574,-0.3191154,-0.31987455,-0.3214584,-0.32192174
-0.31916967,-0.31912747,-0.31988904,-0.32147878,-0.321943
-0.3191818,-0.31913963,-0.3199036,-0.32149932,-0.3219644
-0.3191941,-0.31915185,-0.3199182,-0.32151982,-0.3219858
-0.31920633,-0.31916398,-0.31993276,-0.3215404,-0.32200715
-0.31921858,-0.31917614,-0.3199474,-0.321561,-0.3220286
-0.31923082,-0.31918833,-0.319962,-0.32158154,-0.32204995
-0.3192431,-0.31920055,-0.31997666,-0.3216022,-0.32207146
-0.31925538,-0.3192127,-0.31999126,-0.32162288,-0.32209304
-0.31926772,-0.31922492,-0.32000592,-0.32164347,-0.32211462
-0.31928,-0.3192371,-0.32002062,-0.32166427,-0.32213613
-0.31929234,-0.31924936,-0.32003534,-0.321685,-0.32215783
-0.31930462,-0.31926158,-0.32005015,-0.3217058,-0.32217935
-0.31931695,-0.31927383,-0.32006487,-0.32172656,-0.3222011
-0.31932935,-0.31928608,-0.3200796,-0.32174733,-0.3222228
-0.31934157,-0.3192983,-0.32009438,-0.32176816,-0.32224444
-0.31935397,-0.3193106,-0.32010913,-0.321789,-0.3222662
-0.3193663,-0.31932282,-0.32012394,-0.32180995,-0.32228798
-0.3193787,-0.31933507,-0.32013878,-0.3218309,-0.32230976
-0.3193911,-0.31934735,-0.32015353,-0.32185176,-0.32233158
-0.31940347,-0.31935975,-0.3201685,-0.3218728,-0.32235348
-0.31941584,-0.31937197,-0.32018337,-0.3218938,-0.3223754
-0.31942824,-0.31938425,-0.32019827,-0.32191488,-0.32239738
-0.31944066,-0.3193966,-0.3202131,-0.32193592,-0.32241932
-0.31945303,-0.319409,-0.320228,-0.3219569,-0.3224413
-0.3194655,-0.31942135,-0.32024306,-0.32197812,-0.3224634
-0.31947795,-0.31943366,-0.32025793,-0.32199922,-0.32248536
-0.31949046,-0.319446,-0.32027298,-0.32202038,-0.3225075
-0.3195029,-0.31945834,-0.3202879,-0.32204157,-0.32252964
-0.31951544,-0.31947073,-0.32030296,-0.32206282,-0.32255176
-0.3195278,-0.31948316,-0.32031807,-0.32208404,-0.322574
-0.31954035,-0.31949562,-0.32033303,-0.32210538,-0.32259616
-0.31955287,-0.31950805,-0.32034817,-0.32212666,-0.32261845
-0.31956542,-0.31952032,-0.3203633,-0.32214803,-0.32264072
-0.31957787,-0.31953284,-0.32037845,-0.32216948,-0.32266295
-0.31959042,-0.31954524,-0.32039353,-0.3221908,-0.32268536
-0.319603,-0.3195577,-0.32040867,-0.32221225,-0.32270768
-0.3196155,-0.31957015,-0.3204238,-0.3222336,-0.3227302
-0.31962803,-0.3195826,-0.32043904,-0.32225516,-0.32275262
-0.3196406,-0.319595,-0.3204542,-0.32227674,-0.32277504
-0.3196533,-0.3196076,-0.32046938,-0.32229826,-0.3227975
-0.31966588,-0.31962004,-0.32048467,-0.32231984,-0.3228201
-0.31967846,-0.31963265,-0.32049987,-0.32234144,-0.32284263
-0.31969106,-0.31964508,-0.32051522,-0.32236305,-0.32286525
-0.31970373,-0.3196576,-0.32053053,-0.32238474,-0.32288796
-0.31971633,-0.31967008,-0.32054588,-0.32240638,-0.32291052
-0.31900093,-0.31893423,-0.32004407,-0.32226038,-0.32235852
-0.31817028,-0.31810364,-0.31923214,-0.32224855,-0.32212952
-0.31298903,-0.3129614,-0.31796893,-0.3167159,-0.31676129
-0.1700528,-0.17278811,-0.15730077,-0.15800971,-0.15824625
0.31659028,0.31352144,0.31383678,0.314323,0.31444412
0.32424453,0.3242091,0.3245714,0.32510465,0.3252385
0.3242492,0.3242179,0.32457843,0.32511318,0.32524595
0.32426116,0.3242287,0.32459095,0.32512522,0.32525927
