0,1,2,3,4
-0.18626836,-0.18661778,-0.18701734,-0.18782613,-0.18816103
-0.18826213,-0.18818446,-0.18852821,-0.18919376,-0.18935557
-0.18834475,-0.18829483,-0.18864353,-0.18930532,-0.18946868
-0.1884917,-0.18845418,-0.18880609,-0.18946879,-0.18971346
-0.18862648,-0.18859492,-0.18894851,-0.1896869,-0.18988357
-0.18873969,-0.18871054,-0.18911462,-0.1898326,-0.19007948
-0.18880367,-0.18881103,-0.18919587,-0.18996878,-0.19017088
-0.1888873,-0.1888694,-0.18928877,-0.19004281,-0.19029333
-0.18893953,-0.18894222,-0.18934244,-0.19014712,-0.19035044
-0.1889461,-0.18892479,-0.18935531,-0.19013104,-0.19031377
-0.18893242,-0.18893066,-0.18933785,-0.19009379,-0.19027883
-0.18895821,-0.1889323,-0.18932664,-0.19007884,-0.19026409
-0.18900356,-0.18896835,-0.18936126,-0.19010797,-0.19029394
-0.18905179,-0.18901873,-0.18940957,-0.19015218,-0.19033845
-0.18910578,-0.1890737,-0.18946357,-0.19020294,-0.1903894
-0.18916377,-0.18913297,-0.18952218,-0.19025894,-0.1904456
-0.18922171,-0.1891921,-0.18958071,-0.19031551,-0.19050232
-0.18927974,-0.18925098,-0.18963926,-0.19037266,-0.19055961
-0.18933783,-0.18930976,-0.18969792,-0.1904303,-0.19061732
-0.18939605,-0.18936858,-0.18975672,-0.19048841,-0.19067562
-0.18945439,-0.18942735,-0.18981567,-0.19054703,-0.19073436
-0.18951282,-0.18948622,-0.18987474,-0.19060601,-0.1907935
-0.1895714,-0.18954508,-0.189934,-0.19066541,-0.1908531
-0.18963,-0.18960403,-0.18999337,-0.19072527,-0.19091313
-0.18968883,-0.18966308,-0.19005296,-0.19078542,-0.19097348
-0.1897477,-0.18972221,-0.19011265,-0.19084582,-0.19103411
-0.18980674,-0.18978141,-0.19017254,-0.19090663,-0.19109517
-0.18986596,-0.1898407,-0.1902326,-0.1909677,-0.19115649
-0.1899253,-0.18990014,-0.19029275,-0.19102903,-0.19121803
-0.18998466,-0.18995965,-0.19035314,-0.19109064,-0.19127992
-0.19004425,-0.19001924,-0.19041362,-0.19115248,-0.19134204
-0.1901039,-0.19007897,-0.19047424,-0.19121462,-0.19140446
-0.19016367,-0.1901388,-0.19053498,-0.19127691,-0.19146705
-0.19022362,-0.19019875,-0.19059594,-0.19133943,-0.19152991
-0.19028364,-0.19025877,-0.19065708,-0.19140227,-0.19159302
-0.19034378,-0.19031893,-0.19071825,-0.19146517,-0.19165626
-0.19040395,-0.19037922,-0.19077964,-0.19152832,-0.19171976
-0.19046438,-0.19043949,-0.1908411,-0.19159168,-0.19178341
-0.19052482,-0.19049996,-0.19090271,-0.19165513,-0.19184728
-0.19058546,-0.19056055,-0.19096443,-0.19171886,-0.19191135
-0.19064614,-0.19062121,-0.1910263,-0.19178273,-0.19197558
-0.19070694,-0.19068202,-0.1910883,-0.19184679,-0.19203988
-0.19076787,-0.19074292,-0.1911504,-0.19191095,-0.19210447
-0.19082884,-0.19080386,-0.19121261,-0.19197527,-0.19216916
-0.19089003,-0.19086495,-0.19127494,-0.19203973,-0.19223404
-0.19095123,-0.19092618,-0.19133745,-0.1921044,-0.19229905
-0.19101256,-0.19098741,-0.19140004,-0.19216916,-0.19236416
-0.19107404,-0.1910488,-0.19146274,-0.1922341,-0.19242945
-0.19113553,-0.19111027,-0.19152553,-0.19229913,-0.19249487
-0.19119723,-0.19117188,-0.19158842,-0.19236435,-0.19256046
-0.19125897,-0.19123355,-0.1916515,-0.19242963,-0.19262618
-0.19132082,-0.19129536,-0.19171467,-0.19249518,-0.19269207
-0.1913828,-0.19135725,-0.1917779,-0.1925607,-0.19275793
-0.19144484,-0.1914192,-0.19184129,-0.19262642,-0.19282408
-0.19150688,-0.1914813,-0.19190474,-0.19269228,-0.19289026
-0.19156924,-0.19154346,-0.19196835,-0.1927582,-0.19295663
-0.19163156,-0.1916057,-0.19203204,-0.19282435,-0.1930231
-0.191694,-0.19166817,-0.19209592,-0.19289054,-0.19308965
-0.19175658,-0.1917306,-0.1921598,-0.19295686,-0.19315633
-0.19181922,-0.19179314,-0.1922238,-0.19302325,-0.19322316
-0.19188191,-0.1918558,-0.19228792,-0.1930898,-0.19329013
-0.19194473,-0.19191855,-0.1923521,-0.19315647,-0.19335711
-0.19200766,-0.19198138,-0.19241643,-0.19322325,-0.19342425
-0.19207068,-0.1920443,-0.19248088,-0.19329008,-0.19349153
-0.19213375,-0.1921073,-0.19254535,-0.19335708,-0.19355887
-0.192197,-0.19217047,-0.19260998,-0.19342415,-0.19362636
-0.19226027,-0.19223362,-0.19267468,-0.19349137,-0.19369394
-0.1923237,-0.19229695,-0.19273952,-0.19355868,-0.19376154
-0.19238721,-0.19236028,-0.19280441,-0.19362606,-0.19382933
-0.19245069,-0.19242379,-0.19286941,-0.19369356,-0.1938972
-0.19251439,-0.19248737,-0.19293453,-0.19376114,-0.19396512
-0.1925781,-0.19255099,-0.19299977,-0.19382888,-0.1940332
-0.19264199,-0.19261475,-0.193065,-0.19389668,-0.19410142
-0.19270584,-0.19267859,-0.19313048,-0.19396457,-0.19416964
-0.19276999,-0.19274257,-0.19319595,-0.19403258,-0.19423802
-0.19283408,-0.19280647,-0.19326152,-0.19410068,-0.19430646
-0.19289827,-0.19287066,-0.19332717,-0.19416882,-0.19437492
-0.19296254,-0.19293483,-0.19339299,-0.19423713,-0.19444361
-0.19302692,-0.19299905,-0.19345881,-0.19430551,-0.19451234
-0.19309133,-0.19306342,-0.19352476,-0.19437398,-0.1945811
-0.19315593,-0.19312787,-0.19359082,-0.19444257,-0.19465002
-0.19322054,-0.19319245,-0.19365694,-0.1945112,-0.19471891
-0.19328521,-0.19325702,-0.19372317,-0.19457988,-0.19478808
-0.19335008,-0.19332173,-0.19378948,-0.19464865,-0.19485725
-0.19341493,-0.19338651,-0.19385591,-0.19471762,-0.1949265
-0.19347988,-0.19345134,-0.1939224,-0.19478665,-0.19499576
-0.19354497,-0.19351633,-0.19398896,-0.19485578,-0.19506517
-0.1936101,-0.19358139,-0.19405566,-0.19492495,-0.19513465
-0.19367538,-0.1936466,-0.19412243,-0.19499418,-0.19520427
-0.19374065,-0.19371173,-0.1941893,-0.19506359,-0.19527389
-0.1938061,-0.19377708,-0.19425625,-0.19513303,-0.19534363
-0.19387157,-0.19384241,-0.19432324,-0.19520257,-0.19541349
-0.19393717,-0.19390787,-0.19439048,-0.19527215,-0.19548339
-0.19400278,-0.19397344,-0.19445764,-0.19534181,-0.19555335
-0.19406855,-0.19403908,-0.19452488,-0.19541156,-0.19562337
-0.1941344,-0.19410473,-0.19459228,-0.19548143,-0.19569351
-0.19420028,-0.19417055,-0.1946598,-0.19555135,-0.19576372
-0.19426627,-0.19423641,-0.19472733,-0.19562139,-0.195834
-0.19433229,-0.19430238,-0.19479494,-0.19569147,-0.19590433
-0.19439843,-0.19436844,-0.1948627,-0.19576164,-0.19597475
-0.19446467,-0.1944345,-0.1949305,-0.19583191,-0.19604528
-0.194531,-0.19450071,-0.1949984,-0.19590223,-0.19611591
-0.19459738,-0.194567,-0.19506636,-0.19597267,-0.19618659
-0.19466385,-0.19463332,-0.19513442,-0.19604313,-0.19625728
-0.19473042,-0.19469982,-0.19520253,-0.19611368,-0.19632806
-0.19479701,-0.19476627,-0.19527076,-0.19618432,-0.1963989
-0.19486378,-0.19483292,-0.1953391,-0.19625503,-0.19646986
-0.19493058,-0.19489954,-0.1954075,-0.19632587,-0.19654085
-0.19499741,-0.19496632,-0.19547598,-0.19639668,-0.19661199
-0.19506437,-0.19503315,-0.19554454,-0.19646767,-0.19668314
-0.19513139,-0.19510004,-0.19561319,-0.19653866,-0.19675429
-0.19519852,-0.1951671,-0.19568191,-0.19660974,-0.19682562
-0.19526567,-0.19523412,-0.19575068,-0.19668087,-0.19689697
-0.19533291,-0.19530126,-0.1958196,-0.1967521,-0.19696839
-0.19540033,-0.19536854,-0.19588847,-0.19682343,-0.19703984
-0.19546773,-0.19543584,-0.19595762,-0.19689475,-0.19711141
-0.1955352,-0.1955032,-0.19602671,-0.19696623,-0.19718307
-0.19560279,-0.1955706,-0.1960959,-0.19703767,-0.19725473
-0.19567044,-0.19563815,-0.19616522,-0.1971093,-0.19732645
-0.19573815,-0.19570577,-0.19623455,-0.197181,-0.19739828
-0.19580592,-0.19577342,-0.19630396,-0.19725269,-0.19747013
-0.19587383,-0.19584118,-0.19637346,-0.19732442,-0.19754204
-0.1959418,-0.19590904,-0.1964431,-0.19739631,-0.19761407
-0.19600983,-0.19597693,-0.19651277,-0.19746824,-0.19768617
-0.19607794,-0.19604492,-0.19658254,-0.19754024,-0.19775829
-0.19614613,-0.19611298,-0.19665231,-0.19761226,-0.19783048
-0.19621438,-0.19618113,-0.19672227,-0.19768442,-0.19790274
-0.19628273,-0.19624932,-0.19679226,-0.19775654,-0.19797501
-0.1963511,-0.19631764,-0.19686231,-0.1978288,-0.19804744
-0.1964196,-0.19638598,-0.19693246,-0.1979011,-0.19811982
-0.19648814,-0.1964544,-0.1970026,-0.1979735,-0.1981923
-0.1965568,-0.19652292,-0.19707292,-0.19804597,-0.19826484
-0.19662547,-0.19659148,-0.19714329,-0.19811848,-0.19833742
-0.19669424,-0.19666012,-0.19721375,-0.19819108,-0.19841008
-0.19676307,-0.19672889,-0.19728419,-0.19826369,-0.19848277
-0.19683202,-0.19679762,-0.19735482,-0.19833635,-0.19855557
-0.19690104,-0.19686651,-0.19742548,-0.19840913,-0.19862843
-0.19697005,-0.19693546,-0.19749627,-0.1984819,-0.19870129
-0.19703923,-0.19700444,-0.19756705,-0.1985548,-0.19877419
-0.19710843,-0.1970735,-0.19763792,-0.19862768,-0.19884717
-0.19717771,-0.19714266,-0.19770889,-0.19870073,-0.1989202
-0.197247,-0.19721192,-0.1977799,-0.19877376,-0.19899328
-0.19731647,-0.19728117,-0.19785094,-0.19884688,-0.1990664
-0.19738594,-0.19735055,-0.19792217,-0.19892003,-0.19913961
-0.19745551,-0.19742003,-0.19799338,-0.19899325,-0.19921286
-0.19752517,-0.19748951,-0.19806474,-0.19906655,-0.1992862
-0.19759488,-0.19755907,-0.19813614,-0.19913994,-0.19935954
-0.19766463,-0.1976287,-0.19820757,-0.19921333,-0.19943294
-0.19773442,-0.19769841,-0.19827908,-0.19928679,-0.19950642
-0.19780435,-0.19776817,-0.19835067,-0.19936025,-0.19957992
-0.19787435,-0.19783801,-0.19842233,-0.19943382,-0.19965343
-0.19794437,-0.1979079,-0.19849402,-0.19950742,-0.19972704
-0.19801445,-0.19797793,-0.19856584,-0.19958106,-0.19980074
-0.19808468,-0.19804797,-0.1986377,-0.19965488,-0.19987442
-0.19815493,-0.19811808,-0.1987096,-0.19972858,-0.19994818
-0.19822522,-0.19818829,-0.19878167,-0.19980241,-0.20002194
-0.19829556,-0.19825852,-0.19885376,-0.19987634,-0.20009582
-0.19836609,-0.19832878,-0.1989259,-0.19995023,-0.20016965
-0.19843656,-0.19839922,-0.19899808,-0.20002417,-0.2002436
-0.19950674,-0.19946772,-0.20009868,-0.2011876,-0.19972351
-0.19542763,-0.19538577,-0.19607031,-0.19557598,-0.19597818
-0.17954412,-0.1794913,-0.17905387,-0.18054923,-0.18054418
-0.10946552,-0.106264465,-0.115757294,-0.115848385,-0.11586999
0.20718323,0.19910856,0.19848624,0.19770218,0.19751297
0.24060933,0.2406522,0.24016717,0.23956573,0.2394301
0.24067351,0.24070966,0.24021871,0.23962845,0.23949352
0.24073805,0.24076812,0.24028853,0.23969848,0.23956263
0.24076952,0.24081132,0.24033217,0.23974109,0.239606
0.24075225,0.2407946,0.24031474,0.23972444,0.23959468
0.2406943,0.24073604,0.24025664,0.2396712,0.23954871
0.24063453,0.2406769,0.24020287,0.23962471,0.23948991
0.24056551,0.24061348,0.24014732,0.23955685,0.23942208
0.24049897,0.24055469,0.24007624,0.23948646,0.23935176
0.24046096,0.24050374,0.24002573,0.23943637,0.23930189
0.24045883,0.2405017,0.24002379,0.23943457,0.23930006
0.24045682,0.24049954,0.24002185,0.23943277,0.23929827
0.24045464,0.24049735,0.24001981,0.23943087,0.23929638
0.2404525,0.24049518,0.2400178,0.23942898,0.23929453
0.24045037,0.24049304,0.24001573,0.2394271,0.23929264
0.24044812,0.24049082,0.24001373,0.23942521,0.23929074
0.240446,0.24048868,0.24001174,0.23942327,0.23928884
0.24044384,0.24048646,0.2400097,0.23942132,0.239287
0.24044168,0.24048427,0.2400077,0.23941948,0.23928505
0.24043944,0.24048206,0.24000557,0.23941751,0.23928311
0.2404373,0.24047989,0.24000359,0.23941559,0.23928124
0.24043505,0.24047764,0.24000147,0.23941365,0.23927929
0.24043295,0.2404754,0.23999938,0.23941174,0.23927738
0.2404307,0.24047318,0.23999731,0.23940969,0.2392754
0.24042846,0.24047095,0.2399952,0.23940775,0.23927343
0.2404263,0.24046877,0.23999313,0.23940581,0.23927157
0.24042405,0.24046656,0.23999107,0.23940387,0.23926954
0.2404219,0.24046431,0.23998904,0.2394019,0.23926763
0.24041969,0.24046215,0.23998693,0.23939995,0.23926574
0.24041755,0.24045998,0.23998484,0.23939803,0.23926382
0.2404153,0.24045768,0.23998281,0.23939608,0.23926182
0.24041313,0.24045551,0.23998067,0.2393941,0.23925987
0.24041095,0.24045333,0.23997861,0.2393921,0.23925795
0.24040875,0.24045107,0.2399765,0.2393902,0.23925596
0.24040659,0.24044886,0.23997444,0.23938824,0.23925407
0.2404044,0.24044669,0.23997241,0.23938629,0.23925215
0.24040219,0.24044448,0.23997037,0.23938432,0.23925024
0.24040005,0.24044228,0.23996831,0.23938248,0.23924832
0.24039796,0.24044013,0.23996633,0.23938052,0.23924649
0.24039578,0.24043797,0.2399643,0.23937868,0.2392445
0.24039368,0.24043588,0.23996222,0.23937675,0.23924267
0.24039157,0.2404338,0.23996034,0.23937489,0.23924083
0.2403895,0.24043159,0.23995829,0.23937297,0.23923895
0.24038735,0.2404295,0.2399563,0.23937112,0.23923704
0.24038526,0.24042743,0.23995431,0.23936926,0.23923522
0.24038322,0.24042527,0.23995233,0.23936741,0.23923336
0.24038114,0.24042317,0.2399504,0.23936558,0.23923151
0.24037904,0.24042106,0.23994838,0.2393637,0.23922965
0.24037696,0.240419,0.23994642,0.23936181,0.23922783
0.24037498,0.24041696,0.23994452,0.23936006,0.2392261
0.2403729,0.24041492,0.23994255,0.23935822,0.23922424
0.24037085,0.24041288,0.23994066,0.23935637,0.23922253
0.2403689,0.2404109,0.2399388,0.23935464,0.23922066
0.24036685,0.24040881,0.23993687,0.23935282,0.23921895
0.24036494,0.24040686,0.23993501,0.23935106,0.23921724
0.24036293,0.24040483,0.23993312,0.23934929,0.23921543
0.24036103,0.24040288,0.23993123,0.23934758,0.2392137
0.24035905,0.24040093,0.23992944,0.23934582,0.239212
0.24035712,0.240399,0.23992765,0.23934415,0.23921034
0.24035522,0.240397,0.2399258,0.23934247,0.2392086
0.24035333,0.24039514,0.23992407,0.23934072,0.23920694
0.24035147,0.24039328,0.23992223,0.23933913,0.2392053
0.24034956,0.24039137,0.23992047,0.2393374,0.23920362
0.24034774,0.2403895,0.23991865,0.23933578,0.23920202
0.2403459,0.24038768,0.23991698,0.2393341,0.23920038
0.24034403,0.24038573,0.23991525,0.23933247,0.23919876
0.24034223,0.24038395,0.2399135,0.2393309,0.23919713
