SP,RP,TI,TT,UT,LMS,CML,MLR,RP,TI,TT,UT,LMS,CML,MLR,mean,trans,pre_trans,s2s,pres2s,dae
0,0,0,0.048414554,0.99999994,1,1,1,0,0,0.99999994,1,0,0.9950739,0,0.181449897,0.456687948,0.384114064,0,0.645065873,0.809680667
4.77E-05,5.96E-05,0.1,0.048414554,0.96635693,1,1,1,0,0.1,0.99999994,1,0,0.99014777,0.3356396,0.336996706,0.453950257,0.380988042,0.058851025,0.706332342,0.857993767
9.54E-05,0.000119282,0.1,0.048414554,0.96635693,1,1,1,0,0.1,0.99999994,1,0,0.9852217,0.44751942,0.370480092,0.45767437,0.384140828,0.08108259,0.720135997,0.866808225
0.000143075,0.000178923,0.042854033,0.048414554,0.9681047,1,1,1,0,0.042854033,0.99999994,1,0,0.98029554,0.50345933,0.351246529,0.452686638,0.377392597,0.091894259,0.711092223,0.867493721
0.000190766,0.000238564,0.057145964,0.048414554,0.9676676,1,1,1,0,0.057145964,0.99999994,1,0,0.97536945,0.5370233,0.369032512,0.456211958,0.374967316,0.083603261,0.719796005,0.870666182
0.000238458,0.000298205,0.1,0.048414554,0.96635693,1,1,1,0,0.1,0.99999994,1,0,0.97044337,0.5593993,0.400918137,0.460353726,0.381078115,0.09970112,0.715274118,0.874873504
0.000286149,0.000357846,0.1,0.048414554,0.96635693,1,1,1,0,0.1,0.99999994,1,0,0.9655172,0.5753821,0.404396303,0.464790425,0.374968562,0.095762705,0.688278793,0.876229105
0.000300059,0.000375241,0.042538006,0.04842607,0.96811473,1,1,1,0,0.042538006,0.99999994,1,0,0.96059114,0.51400805,0.348252216,0.46672203,0.375391674,0.120481109,0.665703357,0.869561504
0.000333841,0.000417487,0.000244,0.048418455,0.9694077,1,1,1,0,0.000244,0.99999994,1,0,0.95566505,0.50345933,0.317358996,0.471610079,0.386750361,0.10555015,0.644963876,0.867202503
0.000347751,0.000434882,0.000370296,0.04842607,0.9694043,1,1,1,0,0.000370296,0.99999994,1,0,0.9507389,0.45201713,0.299807722,0.473402908,0.388772359,0.104233785,0.649043774,0.86408584
0.000381532,0.000477128,0.000484,0.048418455,0.96940035,1,1,1,0,0.000484,0.99999994,1,0,0.9458128,0.44751942,0.296939864,0.467505321,0.386058675,0.106283185,0.615112622,0.864043761
0.000395442,0.000494523,0.000570296,0.04842607,0.96939814,1,1,1,0,0.000570296,0.99999994,1,0,0.9408867,0.40336955,0.281645641,0.466194466,0.392920336,0.100012639,0.613242669,0.860951637
0.000431211,0.000539254,0.000404,0.048418455,0.9694028,1,1,1,0,0.000404,0.99999994,1,0,0.9359606,0.40666705,0.281045076,0.458289648,0.393100633,0.07867247,0.622422439,0.861495118
0.000478902,0.000598895,0.0553894,0.048414648,0.96772116,1,1,1,0,0.0553894,0.99999994,1,0,0.9310345,0.43063194,0.320902133,0.462341205,0.396167323,0.048781365,0.63279218,0.866315018
0.000526594,0.000658536,0.1,0.048414648,0.96635693,1,1,1,0,0.1,0.99999994,1,0,0.92610836,0.45061642,0.35312192,0.466289172,0.39852909,0.06562715,0.657118572,0.870701119
0.000574286,0.000718177,0.1,0.048414648,0.96635693,1,1,1,0,0.1,0.99999994,1,0,0.9211823,0.46753627,0.356893313,0.456051803,0.394270717,0.070949634,0.660161496,0.872299613
0.000621977,0.000777818,0.1,0.048414648,0.96635693,1,1,1,0,0.1,0.99999994,1,0,0.9162562,0.4820462,0.359910655,0.457188434,0.396995576,0.079368535,0.677178071,0.873712574
0.000669669,0.000837459,0.1,0.048414648,0.96635693,1,1,1,0,0.1,0.99999994,1,0,0.91133004,0.49462676,0.362324298,0.461230805,0.401237704,0.07955509,0.675869103,0.874977594
0.00071736,0.0008971,0.1,0.048414648,0.96635693,1,1,1,0,0.1,0.99999994,1,0,0.90640396,0.50563884,0.364247205,0.461603734,0.398950959,0.066807312,0.686153846,0.876121915
0.000765052,0.00095674,0.1,0.048414648,0.96635693,1,1,1,0,0.1,0.99999994,1,0,0.9014778,0.51535857,0.365765723,0.458027336,0.395430032,0.075739536,0.673013175,0.877103014
0.000812743,0.001016381,0.1,0.048414648,0.96635693,1,1,1,0,0.1,0.99999994,1,0,0.8965517,0.5240008,0.366947123,0.456188686,0.398262058,0.096308868,0.685762856,0.877999513
